text,amount,currency,recipient,bill_type,intent
حوّل 40 دينار لمريم,40,دينار,مريم,,p2p_transfer
حوّل 45 دينار ليوسف,45,دينار,يوسف,,p2p_transfer
حوّل 50 دينار لهبة,50,دينار,هبة,,p2p_transfer
حوّل 60 دينار لنور,60,دينار,نور,,p2p_transfer
حوّل 70 دينار لعلي,70,دينار,علي,,p2p_transfer
حوّل 80 دينار لتالا,80,دينار,تالا,,p2p_transfer
حوّل 90 دينار لسلمى,90,دينار,سلمى,,p2p_transfer
حوّل 100 دينار لزيد,100,دينار,زيد,,p2p_transfer
حوّل دينارين لأحمد,دينارين,دينارين,أحمد,,p2p_transfer
حوّل ثلاث دنانير لليلى,ثلاث,دنانير,ليلى,,p2p_transfer
حوّل أربعة دنانير لمحمد,أربعة,دنانير,محمد,,p2p_transfer
حوّل 12 دينار لسارة اليوم,12,دينار,سارة,,p2p_transfer
حوّل 18 دينار لخالد الآن,18,دينار,خالد,,p2p_transfer
حوّل 22 دينار لرنا فورًا,22,دينار,رنا,,p2p_transfer
حوّل 37 دينار لعمر,37,دينار,عمر,,p2p_transfer
حوّل 55 دينار لمريم,55,دينار,مريم,,p2p_transfer
حوّل 75 دينار ليوسف,75,دينار,يوسف,,p2p_transfer
حوّل 95 دينار لهبة,95,دينار,هبة,,p2p_transfer
حوّل مبلغ 10 دنانير لحمزة,10,دنانير,حمزة,,p2p_transfer
حوّل مبلغ 15 دينار لريم,15,دينار,ريم,,p2p_transfer
حوّل مبلغ 20 دينار لمراد,20,دينار,مراد,,p2p_transfer
حوّل 8 دنانير لسمير,8,دنانير,سمير,,p2p_transfer
حوّل 13 دينار لفرح,13,دينار,فرح,,p2p_transfer
